FAC_ID,NAMA,KATEGORI,SEKTOR,OPERATOR,DAERAH,LOKALITI,LATITUDE,LONGITUDE,SUMBER,SEMAKAN
77,Klinik Kesihatan Selayang Baru,Klinik Kesihatan,Kerajaan,KKM,Gombak,Selayang,3.253,101.653,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
78,Klinik Kesihatan Kuang,Klinik Kesihatan,Kerajaan,KKM,Gombak,Kuang,3.259,101.555,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
79,Klinik Kesihatan Sabak Bernam,Klinik Kesihatan,Kerajaan,KKM,Sabak Bernam,Sabak Bernam,3.769,100.99,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
80,Klinik Kesihatan Sungai Besar,Klinik Kesihatan,Kerajaan,KKM,Sabak Bernam,Sungai Besar,3.674,100.99,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
81,Klinik Kesihatan Sekinchan,Klinik Kesihatan,Kerajaan,KKM,Sabak Bernam,Sekinchan,3.506,101.1,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
82,Klinik Kesihatan Ibu dan Anak Shah Alam,Klinik Ibu dan Anak,Kerajaan,KKM,Petaling,Shah Alam,3.074,101.52,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
83,Klinik Kesihatan Ibu dan Anak Klang,Klinik Ibu dan Anak,Kerajaan,KKM,Klang,Klang,3.044,101.45,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
84,Klinik Kesihatan Ibu dan Anak Kajang,Klinik Ibu dan Anak,Kerajaan,KKM,Hulu Langat,Kajang,2.995,101.79,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
85,Klinik Kesihatan Ibu dan Anak Ampang,Klinik Ibu dan Anak,Kerajaan,KKM,Hulu Langat,Ampang,3.15,101.76,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
86,Klinik Desa Sungai Sireh,Klinik Desa,Kerajaan,KKM,Kuala Selangor,Sungai Sireh,3.495,101.16,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
87,Klinik Desa Sungai Burong,Klinik Desa,Kerajaan,KKM,Kuala Selangor,Sungai Burong,3.428,101.12,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
88,Klinik Desa Sungai Panjang,Klinik Desa,Kerajaan,KKM,Sabak Bernam,Sungai Panjang,3.6,101.054,Senarai awam + anggaran lokasi,PERLU_SEMAKAN
